,0
0,1.7355949878692627
1,1.680797815322876
2,1.642708659172058
3,1.768478274345398
4,1.655545711517334
5,1.7394758462905884
6,1.765028715133667
7,1.677375316619873
8,1.6802393198013306
9,1.6841521263122559
10,1.7058149576187134
11,1.752934455871582
12,1.676435947418213
13,1.6351507902145386
14,1.6335326433181763
15,1.6215604543685913
16,1.6698102951049805
17,1.6768373250961304
18,1.6733477115631104
19,1.69174325466156
20,1.6502031087875366
21,1.6415730714797974
22,1.6454083919525146
23,1.629446268081665
24,1.6845736503601074
25,1.665527105331421
26,1.6568572521209717
27,1.6365982294082642
28,1.6393381357192993
29,1.6787654161453247
30,1.6520984172821045
31,1.6013785600662231
32,1.5862107276916504
33,1.6222740411758423
34,1.5853271484375
35,1.5693671703338623
36,1.5764615535736084
37,1.5865733623504639
38,1.573184609413147
39,1.5997101068496704
40,1.6249381303787231
41,1.5302112102508545
42,1.6205427646636963
43,1.6365145444869995
44,1.645189642906189
45,1.5964727401733398
46,1.618636965751648
47,1.6181727647781372
48,1.621311068534851
49,1.6111546754837036
50,1.5896044969558716
51,1.589219331741333
52,1.587610125541687
53,1.6331812143325806
54,1.5666372776031494
55,1.5947065353393555
56,1.574099063873291
57,1.5372428894042969
58,1.5916059017181396
59,1.5447455644607544
60,1.5768920183181763
61,1.5789649486541748
62,1.5031812191009521
63,1.5724387168884277
64,1.558939814567566
65,1.518097162246704
66,1.5543583631515503
67,1.5009502172470093
68,1.5956090688705444
69,1.596526861190796
70,1.5296772718429565
71,1.4752402305603027
72,1.5390353202819824
73,1.554276943206787
74,1.5182427167892456
75,1.5184953212738037
76,1.5085327625274658
77,1.5230590105056763
78,1.507137656211853
79,1.5350652933120728
80,1.4827748537063599
81,1.4969059228897095
82,1.4720546007156372
83,1.4725984334945679
84,1.4879961013793945
85,1.4465415477752686
86,1.4363385438919067
87,1.4348258972167969
88,1.5283350944519043
89,1.4620256423950195
90,1.5531071424484253
91,1.4938198328018188
92,1.4819366931915283
93,1.546937108039856
94,1.5040441751480103
95,1.4657138586044312
96,1.402833342552185
97,1.4510748386383057
98,1.518530011177063
99,1.4229154586791992
100,1.4574753046035767
101,1.4483299255371094
102,1.4684195518493652
103,1.5455527305603027
104,1.4089875221252441
105,1.4370027780532837
106,1.4489976167678833
107,1.4209285974502563
108,1.503818392753601
109,1.5014430284500122
110,1.4742122888565063
111,1.461031198501587
112,1.4550466537475586
113,1.4112752676010132
114,1.4761265516281128
115,1.421729326248169
116,1.4310088157653809
117,1.4452024698257446
118,1.4877320528030396
119,1.4216396808624268
120,1.4644055366516113
