UserID,usuario_id_crp
1,660352
2,667648
3,667505
4,535620
5,99794
6,95614
7,668711
8,668145
9,90067
10,395558
11,520273
12,528954
13,489919
14,665697
15,265478
16,403125
17,377882
18,186
19,270719
20,299824
21,336824
22,335492
23,462848
24,282824
25,103821
26,421021
27,672591
28,672607
29,345610
30,612726
31,538315
32,135803
33,673543
34,673515
35,124075
36,262899
37,674201
38,674421
39,244389
40,239480
41,79535
42,10502
43,429030
44,657119
45,676599
46,60443
47,665583
48,638141
49,65878
50,676861
51,404732
52,678000
53,678038
54,530187
55,676902
56,541054
57,234361
58,679939
59,224181
60,670917
61,328818
62,411583
63,567702
64,620330
65,526943
66,279776
67,481897
68,642387
69,522891
70,682736
71,507534
72,220955
73,682446
74,89679
75,683878
76,131128
77,657953
78,501283
79,416498
80,301301
81,509307
82,98785
83,652908
84,134383
85,489776
86,657
87,300463
88,297601
89,501539
90,688638
91,615899
92,604806
93,141304
94,689356
95,244384
96,8577
97,364597
98,670860
99,654052
100,678714
101,331606
102,507717
103,429192
104,690592
105,690624
106,690562
107,64832
108,10004
109,495942
110,676428
111,607106
112,360579
113,386885
114,547995
115,430232
116,64107
117,74003
118,556848
119,633092
120,70176
121,625590
122,10379
123,695263
124,368774
125,66921
126,14484
127,635251
128,75042
129,261144
130,158172
131,605223
132,664601
133,669549
134,83393
135,628028
136,683266
137,123058
138,698942
139,136261
140,678529
141,589958
142,266186
143,526845
144,640892
145,151385
146,151377
147,279267
148,83039
149,64002
150,662563
151,627922
152,43601
153,510290
154,371614
155,703010
156,703097
157,620882
158,10249
159,652828
160,523128
161,694456
162,213737
163,704988
164,471797
165,290559
166,705445
167,633910
168,703173
169,561239
170,624917
171,223188
172,228950
173,706217
174,706233
175,695470
176,480707
177,30808
178,707021
179,380854
180,537691
181,499287
182,708525
183,694149
184,102292
185,324239
186,13084
187,679137
188,706686
189,58897
190,497017
191,677893
192,680483
193,82781
194,317480
195,317312
196,710299
197,659680
198,676164
199,533866
200,706174
201,310303
202,534377
203,58317
204,481116
205,230229
206,705969
207,714179
208,507561
209,599123
210,714404
211,714476
212,8773
213,623969
214,514068
215,678051
216,129214
217,95139
218,696301
219,660518
220,512084
221,715957
222,338227
223,714082
224,704082
225,627909
226,687473
227,718352
228,718787
229,30141
230,715472
231,317247
232,683631
233,688507
234,136744
